jour,hospitalises,reanimation,deces,hosp_mm7,rea_mm7
2020-10-27,18955,2909,24156,15852.0,2531.0
2020-10-28,20184,3036,24400,16855.0,2645.0
2020-10-29,21160,3147,24635,17877.0,2764.0
2020-10-30,22153,3368,24890,18901.0,2898.0
2020-10-31,23013,3443,25113,19954.0,3034.0
2020-11-01,24008,3569,25344,21033.0,3176.0
2020-11-02,25120,3721,25760,22085.0,3313.0
2020-11-03,26242,3869,26186,23126.0,3450.0
2020-11-04,27511,4080,26571,24172.0,3600.0
2020-11-05,28403,4221,26934,25207.0,3753.0
2020-11-06,28955,4321,27332,26179.0,3889.0
2020-11-07,29396,4410,27636,27091.0,4027.0
2020-11-08,30217,4527,27906,27978.0,4164.0
2020-11-09,31098,4677,28454,28832.0,4301.0
2020-11-10,31477,4736,28920,29580.0,4425.0
2020-11-11,31918,4789,29248,30209.0,4526.0
2020-11-12,32654,4884,29673,30816.0,4621.0
2020-11-13,32676,4887,30129,31348.0,4701.0
2020-11-14,32468,4855,30483,31787.0,4765.0
2020-11-15,33050,4880,30785,32192.0,4815.0
2020-11-16,33466,4903,31291,32530.0,4848.0
2020-11-17,33139,4838,31719,32767.0,4862.0
2020-11-18,32811,4759,32144,32895.0,4858.0
2020-11-19,32314,4637,32573,32846.0,4823.0
2020-11-20,31875,4566,32954,32732.0,4777.0
2020-11-21,31365,4493,33207,32574.0,4725.0
2020-11-22,31522,4491,33421,32356.0,4670.0
2020-11-23,31449,4438,33921,32068.0,4603.0
2020-11-24,30594,4277,34374,31704.0,4523.0
2020-11-25,29944,4136,34755,31295.0,4434.0
2020-11-26,29282,4006,35094,30862.0,4344.0
2020-11-27,28620,3871,35487,30397.0,4245.0
2020-11-28,28139,3765,35700,29936.0,4141.0
2020-11-29,28284,3744,35898,29473.0,4034.0
2020-11-30,28229,3739,36304,29013.0,3934.0
2020-12-01,27611,3594,36667,28587.0,3836.0
2020-12-02,26986,3478,36976,28164.0,3742.0
2020-12-03,26675,3415,37300,27792.0,3658.0
2020-12-04,26283,3283,37582,27458.0,3574.0
2020-12-05,26040,3220,37796,27158.0,3496.0
2020-12-06,26262,3210,37970,26869.0,3420.0
2020-12-07,26333,3188,38336,26599.0,3341.0
2020-12-08,25882,3078,38713,26352.0,3267.0
2020-12-09,25526,3031,39009,26143.0,3204.0
2020-12-10,25199,2949,39301,25932.0,3137.0
2020-12-11,24943,2874,39605,25741.0,3079.0
2020-12-12,24948,2851,39799,25585.0,3026.0
2020-12-13,25207,2861,39949,25434.0,2976.0
2020-12-14,25449,2896,40320,25308.0,2934.0
2020-12-15,25207,2871,40627,25211.0,2905.0
2020-12-16,25282,2840,40916,25176.0,2877.0
2020-12-17,25149,2798,41174,25169.0,2856.0
2020-12-18,24945,2764,41429,25170.0,2840.0
2020-12-19,24819,2718,41618,25151.0,2821.0
2020-12-20,24961,2745,41749,25116.0,2805.0
2020-12-21,25201,2737,42100,25081.0,2782.0
2020-12-22,24932,2719,42481,25041.0,2760.0
2020-12-23,24852,2701,42757,24980.0,2740.0
2020-12-24,24607,2643,43047,24902.0,2718.0
2020-12-25,24359,2616,43206,24819.0,2697.0
2020-12-26,24444,2640,43352,24765.0,2686.0
2020-12-27,24620,2650,43525,24716.0,2672.0
2020-12-28,24645,2694,43888,24637.0,2666.0
2020-12-29,24743,2666,44272,24610.0,2659.0
2020-12-30,24560,2652,44575,24568.0,2652.0
2020-12-31,24407,2625,44826,24540.0,2649.0
2021-01-01,24263,2609,44959,24526.0,2648.0
2021-01-02,24458,2632,45115,24528.0,2647.0
